# Logfile created on 2013-11-08 17:13:35 +0000 by logger.rb/36483
I, [2013-11-11T00:22:51.108199 #12181]  INFO -- : 2013-11-11T00:22:51+0000: [Worker(host:infinity.lan pid:12181)] Starting job worker
I, [2013-11-11T00:22:51.215566 #12181]  INFO -- : 2013-11-11T00:22:51+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=1) RUNNING
I, [2013-11-11T00:22:52.304751 #12181]  INFO -- : 2013-11-11T00:22:52+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=1) COMPLETED after 1.0890
I, [2013-11-11T00:22:52.307559 #12181]  INFO -- : 2013-11-11T00:22:52+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=2) RUNNING
I, [2013-11-11T00:22:53.209334 #12181]  INFO -- : 2013-11-11T00:22:53+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=2) COMPLETED after 0.9016
I, [2013-11-11T00:22:53.212734 #12181]  INFO -- : 2013-11-11T00:22:53+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=3) RUNNING
I, [2013-11-11T00:22:54.045405 #12181]  INFO -- : 2013-11-11T00:22:54+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=3) COMPLETED after 0.8325
I, [2013-11-11T00:22:54.048348 #12181]  INFO -- : 2013-11-11T00:22:54+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=4) RUNNING
I, [2013-11-11T00:22:54.884023 #12181]  INFO -- : 2013-11-11T00:22:54+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=4) COMPLETED after 0.8356
I, [2013-11-11T00:22:54.887008 #12181]  INFO -- : 2013-11-11T00:22:54+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=5) RUNNING
I, [2013-11-11T00:22:55.711867 #12181]  INFO -- : 2013-11-11T00:22:55+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=5) COMPLETED after 0.8247
I, [2013-11-11T00:22:55.714856 #12181]  INFO -- : 2013-11-11T00:22:55+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=6) RUNNING
I, [2013-11-11T00:22:56.510928 #12181]  INFO -- : 2013-11-11T00:22:56+0000: [Worker(host:infinity.lan pid:12181)] Job Services::Checkup#check_without_delay (id=6) COMPLETED after 0.7959
